"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","1","","Queued expense analysis notification data getter","","Queued expense analysis notification data getter","Queued expense analysis notification data getter with record body message without valid job ID","Queued expense analysis notification data getter with record body message without valid job ID",""
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","1","","Queued expense analysis notification data getter","","Queued expense analysis notification data getter","Queued expense analysis notification data getter with record body not object","Queued expense analysis notification data getter with record body not object",""
"passed","Thu Jan 19 16:05:59 GMT 2023","Thu Jan 19 16:05:59 GMT 2023","1","","Extract handler test","","Extract handler test","Extract handler with empty event does not call textract","Extract handler with empty event does not call textract",""
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","1","","Queued expense analysis notification data getter","","Queued expense analysis notification data getter","Queued expense analysis notification data getter with record body message document location without valid bucket","Queued expense analysis notification data getter with record body message document location without valid bucket",""
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","1","","Athena view resource data getter","","Athena view resource data getter","Athena view resource data getter with no `View.Query`","Athena view resource data getter with no `View.Query`",""
"passed","Thu Jan 19 16:06:06 GMT 2023","Thu Jan 19 16:06:06 GMT 2023","1","","Textract warnings logger","","Textract warnings logger","Textract warnings logger with single warning with code and pages","Textract warnings logger with single warning with code and pages",""
"passed","Thu Jan 19 16:05:59 GMT 2023","Thu Jan 19 16:05:59 GMT 2023","1","","Query execution validator","","Query execution validator","Query execution validator with query execution with failure state and error message","Query execution validator with query execution with failure state and error message",""
"passed","Thu Jan 19 16:05:59 GMT 2023","Thu Jan 19 16:05:59 GMT 2023","4","","Query execution validator","","Query execution validator","Query execution validator with query execution retrieval error","Query execution validator with query execution retrieval error",""
"passed","Thu Jan 19 16:05:59 GMT 2023","Thu Jan 19 16:05:59 GMT 2023","1","","Query execution validator","","Query execution validator","Query execution validator with query execution without state","Query execution validator with query execution without state",""
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","1","","Expense documents storer","","Expense documents storer","Expense documents storer with document fetch and failure handler errors","Expense documents storer with document fetch and failure handler errors",""
"passed","Thu Jan 19 16:05:55 GMT 2023","Thu Jan 19 16:05:55 GMT 2023","1","","src/handlers/custom-s3-object-resource/handler.test.ts","","src/handlers/custom-s3-object-resource/handler.test.ts","Custom S3 object resource handler with no `S3Object.Key`","Custom S3 object resource handler with no `S3Object.Key`",""
"passed","Thu Jan 19 16:05:56 GMT 2023","Thu Jan 19 16:05:56 GMT 2023","1","","src/shared/utils/custom-resource-utils.test.ts","","src/shared/utils/custom-resource-utils.test.ts","Result sender with deletion event","Result sender with deletion event",""
"passed","Thu Jan 19 16:06:06 GMT 2023","Thu Jan 19 16:06:06 GMT 2023","0","","Textract warnings logger","","Textract warnings logger","Textract warnings logger with multiple warnings","Textract warnings logger with multiple warnings",""
"passed","Thu Jan 19 16:06:02 GMT 2023","Thu Jan 19 16:06:02 GMT 2023","1","","src/shared/utils/s3.test.ts","","src/shared/utils/s3.test.ts","Put object without callback error","Put object without callback error",""
"passed","Thu Jan 19 16:06:02 GMT 2023","Thu Jan 19 16:06:02 GMT 2023","2","","src/shared/utils/s3.test.ts","","src/shared/utils/s3.test.ts","Put text without callback error","Put text without callback error",""
"passed","Thu Jan 19 16:06:06 GMT 2023","Thu Jan 19 16:06:06 GMT 2023","3","","Store Raw Invoice Textract Data handler tests","","Store Raw Invoice Textract Data handler tests","Store Raw Invoice Textract Data handler with no destination bucket set","Store Raw Invoice Textract Data handler with no destination bucket set",""
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","0","","Queued expense analysis notification data getter","","Queued expense analysis notification data getter","Queued expense analysis notification data getter with record body message without valid document location","Queued expense analysis notification data getter with record body message without valid document location",""
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","3","","Expense documents storer","","Expense documents storer","Expense documents storer with document fetch error","Expense documents storer with document fetch error",""
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","0","","Athena view resource data getter","","Athena view resource data getter","Athena view resource data getter with `View.Name` not string","Athena view resource data getter with `View.Name` not string",""
"passed","Thu Jan 19 16:05:59 GMT 2023","Thu Jan 19 16:05:59 GMT 2023","1","","Extract handler test","","Extract handler test","Extract handler with event record that has invalid S3 event in body","Extract handler with event record that has invalid S3 event in body",""
"passed","Thu Jan 19 16:05:56 GMT 2023","Thu Jan 19 16:05:56 GMT 2023","0","","src/shared/utils/custom-resource-utils.test.ts","","src/shared/utils/custom-resource-utils.test.ts","Result sender with no error","Result sender with no error",""
"passed","Thu Jan 19 16:06:06 GMT 2023","Thu Jan 19 16:06:06 GMT 2023","1","","Textract warnings logger","","Textract warnings logger","Textract warnings logger with single warning with code and no pages","Textract warnings logger with single warning with code and no pages",""
"passed","Thu Jan 19 16:06:05 GMT 2023","Thu Jan 19 16:06:05 GMT 2023","3","","Filter handler tests","","Filter handler tests","Filter handler with empty event batch","Filter handler with empty event batch",""
"passed","Thu Jan 19 16:05:58 GMT 2023","Thu Jan 19 16:05:58 GMT 2023","1","","src/handlers/clean/handler.test.ts","","src/handlers/clean/handler.test.ts","Clean handler with valid event record that has extensions but no iss","Clean handler with valid event record that has extensions but no iss",""
"passed","Thu Jan 19 16:06:02 GMT 2023","Thu Jan 19 16:06:02 GMT 2023","3","","src/shared/utils/s3.test.ts","","src/shared/utils/s3.test.ts","Move object without callback error","Move object without callback error",""
"passed","Thu Jan 19 16:06:02 GMT 2023","Thu Jan 19 16:06:02 GMT 2023","2","","src/shared/utils/s3.test.ts","","src/shared/utils/s3.test.ts","Move object with delete callback error","Move object with delete callback error",""
"passed","Thu Jan 19 16:05:59 GMT 2023","Thu Jan 19 16:05:59 GMT 2023","2","","Query execution validator","","Query execution validator","Query execution validator with query execution with queued state","Query execution validator with query execution with queued state",""
"passed","Thu Jan 19 16:05:59 GMT 2023","Thu Jan 19 16:05:59 GMT 2023","1","","Query execution validator","","Query execution validator","Query execution validator with query execution with running state","Query execution validator with query execution with running state",""
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","1","","Athena view resource data getter","","Athena view resource data getter","Athena view resource data getter with `View.Database` not string","Athena view resource data getter with `View.Database` not string",""
"passed","Thu Jan 19 16:06:06 GMT 2023","Thu Jan 19 16:06:06 GMT 2023","2","","Store Raw Invoice Textract Data handler tests","","Store Raw Invoice Textract Data handler tests","Store Raw Invoice Textract Data handler with one failing and one passing record","Store Raw Invoice Textract Data handler with one failing and one passing record",""
"passed","Thu Jan 19 16:05:55 GMT 2023","Thu Jan 19 16:05:55 GMT 2023","1","","src/handlers/custom-s3-object-resource/handler.test.ts","","src/handlers/custom-s3-object-resource/handler.test.ts","Custom S3 object resource handler with deletion success","Custom S3 object resource handler with deletion success",""
"passed","Thu Jan 19 16:06:02 GMT 2023","Thu Jan 19 16:06:02 GMT 2023","3","","src/shared/utils/s3.test.ts","","src/shared/utils/s3.test.ts","Move object with copy callback error","Move object with copy callback error",""
"passed","Thu Jan 19 16:05:59 GMT 2023","Thu Jan 19 16:05:59 GMT 2023","2","","Extract handler test","","Extract handler test","Extract handler with single event record that has valid S3 event in body with multiple records","Extract handler with single event record that has valid S3 event in body with multiple records",""
"passed","Thu Jan 19 16:06:04 GMT 2023","Thu Jan 19 16:06:04 GMT 2023","1","","Expense documents fetcher","","Expense documents fetcher","Expense documents fetcher with response with two pages of documents","Expense documents fetcher with response with two pages of documents",""
"passed","Thu Jan 19 16:05:59 GMT 2023","Thu Jan 19 16:05:59 GMT 2023","1","","Extract handler test","","Extract handler test","Extract handler with event record that has body that does not serialise to object","Extract handler with event record that has body that does not serialise to object",""
"passed","Thu Jan 19 16:06:07 GMT 2023","Thu Jan 19 16:06:07 GMT 2023","13","","Record sender tests","","Record sender tests","Record sender with callback error","Record sender with callback error",""
"passed","Thu Jan 19 16:06:04 GMT 2023","Thu Jan 19 16:06:04 GMT 2023","4","","src/handlers/store-transactions/handler.test.ts","","src/handlers/store-transactions/handler.test.ts","Store Transactions handler with empty event batch","Store Transactions handler with empty event batch",""
"passed","Thu Jan 19 16:05:57 GMT 2023","Thu Jan 19 16:05:57 GMT 2023","3","","Custom Athena view resource handler","","Custom Athena view resource handler","Custom Athena view resource handler with query execution validation error","Custom Athena view resource handler with query execution validation error",""
"passed","Thu Jan 19 16:06:05 GMT 2023","Thu Jan 19 16:06:05 GMT 2023","1","","Textract success handler","","Textract success handler","Textract success handler with S3 move error","Textract success handler with S3 move error",""
"passed","Thu Jan 19 16:05:57 GMT 2023","Thu Jan 19 16:05:57 GMT 2023","0","","Custom Athena view resource handler","","Custom Athena view resource handler","Custom Athena view resource handler with query execution start error","Custom Athena view resource handler with query execution start error",""
"passed","Thu Jan 19 16:06:04 GMT 2023","Thu Jan 19 16:06:04 GMT 2023","9","","Expense documents fetcher","","Expense documents fetcher","Expense documents fetcher without success status","Expense documents fetcher without success status",""
"passed","Thu Jan 19 16:06:05 GMT 2023","Thu Jan 19 16:06:05 GMT 2023","1","","Filter handler tests","","Filter handler tests","SQS output queue not defined","SQS output queue not defined",""
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","1","","Expense documents storer","","Expense documents storer","Expense documents storer with success handler error","Expense documents storer with success handler error",""
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","1","","Expense documents storer","","Expense documents storer","Expense documents storer with source file in success folder","Expense documents storer with source file in success folder",""
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","1","","Queued expense analysis notification data getter","","Queued expense analysis notification data getter","Queued expense analysis notification data getter with record body message document location without valid file name","Queued expense analysis notification data getter with record body message document location without valid file name",""
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","14","","Queued expense analysis notification data getter","","Queued expense analysis notification data getter","Queued expense analysis notification data getter with record body not valid JSON","Queued expense analysis notification data getter with record body not valid JSON",""
"passed","Thu Jan 19 16:06:07 GMT 2023","Thu Jan 19 16:06:07 GMT 2023","1","","Record sender tests","","Record sender tests","Record sender without callback error","Record sender without callback error",""
"passed","Thu Jan 19 16:05:58 GMT 2023","Thu Jan 19 16:05:58 GMT 2023","2","","src/handlers/clean/handler.test.ts","","src/handlers/clean/handler.test.ts","Clean handler with valid event record that has invalid optional values","Clean handler with valid event record that has invalid optional values",""
"passed","Thu Jan 19 16:06:04 GMT 2023","Thu Jan 19 16:06:04 GMT 2023","14","","Expense documents fetcher","","Expense documents fetcher","Expense documents fetcher with request failure","Expense documents fetcher with request failure",""
"passed","Thu Jan 19 16:06:01 GMT 2023","Thu Jan 19 16:06:01 GMT 2023","0","","Queued expense analysis notification data getter","","Queued expense analysis notification data getter","Queued expense analysis notification data getter with record body message not JSON serialisable","Queued expense analysis notification data getter with record body message not JSON serialisable",""
"passed","Thu Jan 19 16:06:05 GMT 2023","Thu Jan 19 16:06:05 GMT 2023","1","","Textract success handler","","Textract success handler","Textract success handler with no error","Textract success handler with no error",""
